sample_id,pc,Sw
1,0.040802711,1
1,0.143826764,0.997238514
1,0.292337807,0.978339884
1,0.352698393,0.943307784
1,0.471062652,0.927277204
1,0.568524051,0.914155094
1,0.676269153,0.899570482
1,0.78163262,0.898128189
1,0.864822156,0.883534389
1,0.956976992,0.87624392
1,1.074423794,0.870415955
1,1.278253922,0.866056004
1,1.757115006,0.839804436
1,2.247231753,0.829611008
1,2.751291282,0.806266074
1,3.369040044,0.794606468
1,4.370609994,0.769808216
1,5.352443619,0.763991275
1,8.382809563,0.745059573
1,30.39028003,0.686796452
1,70.32026869,0.624094376
1,120.0831443,0.580342375
1,202.1271229,0.540970535
1,298.5184183,0.473829504
1,404.261735,0.418362777
1,494.9270988,0.393557177
