sample_id,pc,Sw
1,0.101392541,1
1,0.504315949,0.991586998
1,0.807062014,0.990439771
1,1.006938631,0.98585086
1,1.503755321,0.984703633
1,1.982883949,0.818355641
1,2.508415059,0.727724665
1,2.961225438,0.691013384
1,3.495775574,0.678393881
1,4.01424249,0.662332696
1,4.939621744,0.6416826
1,6.078323128,0.62332696
1,6.88395207,0.61414914
1,8.015006962,0.595793499
1,8.952657126,0.595793499
1,9.862658461,0.587762906
1,14.93393216,0.568260038
1,19.9664245,0.551051625
1,30.23294684,0.515487572
1,39.31828756,0.47418738
1,49.73895959,0.448948375
1,59.53533131,0.416826004
1,69.31717276,0.37208413
1,79.59777002,0.327342256
1,88.9096599,0.267686424
