sample_id,pc,Sw
1,0.1,0.999566674
1,0.1823348,0.997394635
1,0.332459793,0.984947613
1,0.606189899,0.928663483
1,1.105295141,0.807598465
1,2.015337686,0.717080776
1,3.674661941,0.682185527
1,6.700187504,0.670373035
1,12.21677349,0.661911252
1,22.27542952,0.633509054
1,40.61585988,0.540227392
1,74.05684692,0.421567832
1,135.0314038,0.362030724
1,246.2092401,0.341695975
1,448.9251258,0.333489811
1,818.5467307,0.319715529
1,1492.495545,0.264636734
1,2721.338768,0.144145866
1,4961.947603,0.051933919
1,9047.357242,0.016179287
1,16496.48074,0.004895698
1,30078.82518,0.001474028
1,54844.16576,0.000443443
1,100000,0.000133386
